sector,mean_return_all,volatility_all,mean_return_recession,volatility_recession,mean_return_nonrecession,volatility_nonrecession
XLB,0.0011323357255889214,0.016235445805402406,-0.007295676346598809,0.03536996605627499,0.0017630032956165746,0.013856758579212125
XLC,0.003406841528888834,0.01157383088818612,-0.03973929949423549,,0.004220919661400614,0.010002715920232155
XLE,0.0013173423943774834,0.019735432695069725,-0.00512123164744113,0.042531519475721015,0.0017991404519285361,0.017075592325311195
XLF,0.00011105901044868045,0.021619887028200238,-0.002793840662706624,0.0636415999373404,0.0003284324553786692,0.01498459543587026
XLI,0.0006124886425955018,0.014793269058864458,-0.0018561326235138468,0.03631129094464748,0.0007972154040050449,0.012021914167789092
XLK,0.0018550472316076227,0.014912607438622194,0.0009681025788745655,0.03520709879813891,0.0019214172396352664,0.012416813928726346
XLP,0.0006361715872130472,0.008974850697529756,0.0011796775162007693,0.021525672333679507,0.0005955010755200885,0.007406489722147287
XLRE,0.0010452542107554743,0.013496376570266385,-0.06064090019569468,,0.001867736269508143,0.011511155657784754
XLU,0.000122996595491402,0.01344287206599649,-0.0025587237419990787,0.03468575108827095,0.0003236695459158597,0.010551749932064224
XLV,0.00099065554803413,0.010714142127354304,-0.004287381046237887,0.021519962482011327,0.0013856106673333965,0.009458642286754151
XLY,0.0017430820840394173,0.015756386223751216,0.0017084828098014038,0.04229737781164117,0.0017456711453769558,0.012017882258692986
